time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1965-02-04T05:01:22.000Z,51.251,178.715,30.3,8.7,mw,,,,,official,official19650204050122_30,2020-07-10T14:33:58.700Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,official
1965-03-30T02:27:04.600Z,50.32,177.93,20,7.65,mw,,,,,ushis,ushis2799,2020-07-10T19:22:27.511Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,ka
1965-05-20T00:40:27.000Z,-14.921,167.34,120,7.7,mw,,,,,iscgem,iscgem857011,2020-07-10T02:33:02.206Z,"31 km ENE of Port-Olry, Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1965-07-02T20:58:40.000Z,52.99,-167.739,45,7.8,mw,,,,,iscgem,iscgem855112,2020-07-10T02:25:22.623Z,"75 km E of Nikolski, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1965-08-11T22:31:51.000Z,-15.861,167.092,30,7.6,mw,,,,,iscgem,iscgem854473,2020-07-10T02:20:12.638Z,"38 km SSW of Luganville, Vanuatu",earthquake,,,,,automatic,iscgem,iscgem
1966-03-12T16:31:20.000Z,24.122,122.583,30,7.5,mw,,,,,iscgem,iscgem849160,2020-07-10T02:04:05.321Z,"57 km SW of Yonakuni, Japan",earthquake,,,,,automatic,iscgem,iscgem
1966-09-08T21:15:56.000Z,2.388,128.49,115,7.7,mw,,,,,iscgemsup,iscgemsup843229,2020-07-10T13:46:01.950Z,"90 km NE of Tobelo, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1966-10-17T21:42:00.000Z,-10.665,-78.228,40,8.1,mw,,,,,iscgem,iscgem842581,2020-08-14T03:14:24.909Z,"43 km W of Paramonga, Peru",earthquake,,,,,automatic,iscgem,iscgem
1966-12-28T08:18:07.000Z,-25.494,-70.55,25,7.7,mw,,,,,iscgem,iscgem841046,2020-07-10T01:47:47.989Z,"11 km SW of Taltal, Chile",earthquake,,,,,automatic,iscgem,iscgem
1966-12-31T18:23:09.000Z,-12.091,166.552,55,7.8,mw,,,,,iscgem,iscgem841173,2020-07-10T01:48:08.921Z,"172 km SSE of Lata, Solomon Islands",earthquake,,,,,automatic,iscgem,iscgem
1968-04-01T00:42:07.000Z,32.449,132.269,34.2,7.5,mw,,,,,iscgem,iscgem823387,2020-07-10T01:18:08.413Z,"58 km ESE of Nobeoka, Japan",earthquake,,,,,automatic,iscgem,iscgem
1968-05-16T00:49:02.000Z,40.86,143.435,29.9,8.2,mw,,,,,iscgem,iscgem821946,2020-07-10T01:16:01.220Z,"168 km ENE of Hachinohe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1968-05-16T10:39:02.000Z,41.43,142.864,25,7.9,mw,,,,,iscgem,iscgem822083,2020-07-10T01:16:40.146Z,"108 km SSE of Shizunai-furukawach?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1968-05-28T13:27:19.000Z,-2.85,139.353,45,7.5,mw,,,,,iscgem,iscgem823104,2020-07-10T01:17:48.693Z,"145 km W of Abepura, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1968-08-01T20:19:22.000Z,16.316,122.067,25,7.6,mw,,,,,iscgem,iscgem817557,2020-07-10T01:06:06.628Z,"32 km SE of Minuri, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1968-08-10T02:07:06.000Z,1.514,126.234,23,7.6,mw,,,,,iscgem,iscgem817844,2020-07-10T01:08:10.671Z,"140 km E of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1969-01-30T10:29:41.000Z,4.569,127.306,60,7.6,mw,,,,,iscgem,iscgem813688,2020-07-10T00:56:27.711Z,"224 km ESE of Sarangani, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1969-02-28T02:40:32.000Z,36.033,-10.613,10,7.8,mw,,,,,iscgem,iscgem812637,2020-08-25T22:25:46.618Z,"184 km SW of Sagres, Portugal",earthquake,,,,,automatic,iscgem,iscgem
1969-08-11T21:27:35.000Z,43.424,147.859,30,8.2,mw,,,,,iscgem,iscgem805430,2020-07-10T00:37:55.780Z,"100 km ESE of Shikotan, Russia",earthquake,,,,,automatic,iscgem,iscgem
1969-11-21T02:05:38.000Z,2.005,94.489,25,7.6,mw,,,,,iscgem,iscgem802491,2020-07-10T00:30:20.034Z,"216 km WSW of Sinabang, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1970-05-31T20:23:29.000Z,-9.183,-78.737,45,7.9,mw,,,,,iscgem,iscgem796163,2020-08-14T03:45:00.246Z,"20 km WSW of Chimbote, Peru",earthquake,,,,,automatic,iscgem,iscgem
1970-07-31T17:08:05.000Z,-1.597,-72.532,644.8,8,mw,,,,,iscgem,iscgem794176,2020-08-25T22:25:04.650Z,"95 km N of San Antonio del Estrecho, Peru",earthquake,,,,,automatic,iscgem,iscgem
1971-01-10T07:17:05.000Z,-3.184,139.722,30,7.7,mw,,,,,iscgem,iscgem788036,2020-07-09T23:46:34.398Z,"120 km WSW of Abepura, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1971-07-09T03:03:20.000Z,-32.601,-71.076,60.3,7.8,mw,,,,,iscgem,iscgem782010,2020-07-07T22:19:30.651Z,"21 km SE of La Ligua, Chile",earthquake,,,,,automatic,iscgem,iscgem
1971-07-14T06:11:30.000Z,-5.524,153.85,40,8,mw,,,,,iscgem,iscgem782181,2020-07-09T23:22:01.238Z,"201 km WNW of Panguna, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1971-07-26T01:23:22.000Z,-4.817,153.172,40,8.1,mw,,,,,iscgem,iscgem782684,2020-07-09T23:24:50.787Z,"113 km ESE of Kokopo, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1971-12-15T08:29:57.000Z,55.959,163.269,27.5,7.6,mw,,,,,iscgem,iscgem777750,2020-07-09T23:07:15.224Z,"57 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,,automatic,iscgem,iscgem
1972-04-25T19:30:07.000Z,13.402,120.275,25,7.5,mw,,,,,iscgem,iscgem774772,2020-07-09T22:56:39.187Z,"Mindoro, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1972-06-11T16:41:04.000Z,3.752,124.221,330.8,7.7,mw,,,,,iscgem,iscgem772416,2020-07-09T22:49:00.121Z,"Celebes Sea",earthquake,,,,,automatic,iscgem,iscgem
1972-07-30T21:45:14.100Z,56.82,-135.685,25,7.61,mw,,,,,ushis,ushis3196,2020-07-09T22:48:03.548Z,"33 km SW of Sitka, Alaska",earthquake,,,,,reviewed,ushis,sr
1972-08-17T23:44:09.000Z,-6.05,152.932,20,7.5,mw,,,,,iscgem,iscgem770672,2020-07-09T22:43:41.615Z,"202 km SSE of Kokopo, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
1972-12-02T00:19:52.000Z,6.405,126.64,60,8,mw,,,,,iscgem,iscgem765501,2020-07-09T22:26:53.091Z,"51 km E of Pondaguitan, Philippines",earthquake,,,,,automatic,iscgem,iscgem
1973-01-30T21:01:12.500Z,18.481,-102.996,43,7.5,ms,,,,,us,usp00000bf,2020-07-07T23:02:48.214Z,"35 km SW of Aguililla, Mexico",earthquake,,,,,reviewed,us,us
1973-06-17T03:55:02.900Z,43.233,145.785,48,7.7,ms,,,,,us,usp0000270,2020-07-07T23:03:38.824Z,"19 km ESE of Nemuro, Japan",earthquake,,,,,reviewed,us,us
1973-12-28T13:41:45.800Z,-14.464,166.601,26,7.5,ms,,,,,us,usp00004p9,2020-07-10T19:59:32.634Z,"81 km NW of Port-Olry, Vanuatu",earthquake,,,,,reviewed,us,us
1974-10-03T14:21:29.100Z,-12.265,-77.795,13,7.6,ms,,,,,us,usp0000888,2020-07-07T23:06:18.663Z,"77 km WSW of Callao, Peru",earthquake,,,,,reviewed,us,us
1974-10-08T09:50:58.100Z,17.3,-62,47,7.5,ms,,,,,us,usp00008aq,2020-08-25T23:57:37.306Z,"25 km NW of Saint John’s, Antigua and Barbuda",earthquake,,,,,reviewed,us,us
1975-02-02T08:43:39.100Z,53.113,173.497,10,7.6,ms,,,,,us,usp00009ry,2020-08-26T00:08:31.255Z,"36 km NE of Attu Station, Alaska",earthquake,,,,,reviewed,us,us
1975-05-10T14:27:38.700Z,-38.183,-73.232,6,7.7,ms,,,,,us,usp0000az9,2020-08-26T00:18:00.004Z,"44 km SSE of Cañete, Chile",earthquake,,,,,reviewed,us,us
1975-05-26T09:11:51.500Z,35.997,-17.649,33,7.9,ms,,,,,us,usp0000b6e,2020-08-26T00:19:12.324Z,"Azores-Cape St. Vincent Ridge",earthquake,,,,,reviewed,us,us
1975-07-20T14:37:39.900Z,-6.59,155.054,49,7.9,ms,,,,,us,usp0000c24,2020-08-26T00:25:27.249Z,"56 km WSW of Panguna, Papua New Guinea",earthquake,,,,,reviewed,us,us
1975-07-20T19:54:27.700Z,-7.104,155.152,44,7.7,ms,,,,,us,usp0000c2s,2020-08-26T00:25:49.740Z,"94 km SSW of Panguna, Papua New Guinea",earthquake,,,,,reviewed,us,us
1975-10-11T14:35:15.000Z,-24.894,-175.119,9,7.8,ms,,,,,us,usp0000d42,2015-05-13T18:53:11.000Z,"south of Tonga",earthquake,,,,,reviewed,us,us
1975-11-29T14:47:40.100Z,19.333,-155.0015,8.636,7.7,mw,31,205,,0.09,hv,hv19755025,2020-07-07T22:40:37.611Z,"17 km SSW of Leilani Estates, Hawaii",earthquake,1.03,0.51,,0,reviewed,hv,hv
1975-12-26T15:56:38.700Z,-16.264,-172.467,33,7.8,ms,,,,,us,usp0000e2t,2020-08-26T00:43:50.421Z,"146 km ESE of Hihifo, Tonga",earthquake,,,,,reviewed,us,us
1976-01-14T16:47:33.500Z,-28.427,-177.657,33,8,ms,,,,,us,usp0000ee7,2020-08-26T00:46:09.659Z,"Kermadec Islands region",earthquake,,,,,reviewed,us,us
1976-02-04T09:01:43.400Z,15.324,-89.101,5,7.5,mw,,,,,us,usp0000ex3,2020-08-14T04:34:06.730Z,"7 km N of Los Amates, Guatemala",earthquake,,,,,reviewed,us,01000
1976-07-27T19:42:54.600Z,39.57,117.978,23,7.5,mw,,,,,us,usp0000hjg,2020-07-07T23:12:57.496Z,"17 km NE of Penguanzhuang, China",earthquake,,,,,reviewed,us,01000
1976-08-16T16:11:07.300Z,6.262,124.023,33,7.9,ms,,,,,us,usp0000hvb,2020-07-07T23:13:31.693Z,"19 km WNW of Palimbang, Philippines",earthquake,,,,,reviewed,us,us
1977-03-04T19:21:54.100Z,45.772,26.761,94,7.5,mwc,,,,,us,usp0000mtc,2020-07-07T23:16:01.222Z,"2 km N of Spulber, Romania",earthquake,,,,,reviewed,us,gcmt
1977-04-02T07:15:22.700Z,-16.696,-172.095,33,7.6,ms,,,,,us,usp0000n82,2020-07-10T22:06:15.679Z,"199 km ESE of Hihifo, Tonga",earthquake,,,,,reviewed,us,us
1977-04-20T23:42:50.500Z,-9.89,160.348,19,7.5,ms,,,,,us,usp0000ngg,2020-08-26T01:26:25.294Z,"66 km SE of Honiara, Solomon Islands",earthquake,,,,,reviewed,us,us
1977-04-20T23:49:13.100Z,-9.844,160.822,33,7.5,ms,,,,,us,usp0000ngh,2020-07-10T22:08:46.830Z,"105 km ESE of Honiara, Solomon Islands",earthquake,,,,,reviewed,us,us
1977-04-21T04:24:09.600Z,-9.965,160.731,33,7.5,ms,,,,,us,usp0000nh4,2021-01-04T23:56:54.317Z,"103 km SE of Honiara, Solomon Islands",earthquake,,,,,reviewed,us,us
1977-08-19T06:08:55.000Z,-11.164,118.378,25,8.3,mw,,,,,iscgem,iscgem694739,2020-07-09T22:26:25.291Z,"265 km SW of Waingapu, Indonesia",earthquake,,,,,automatic,iscgem,iscgem
1978-03-23T03:15:20.300Z,44.932,148.439,33,7.5,ms,,,,,us,usp0000tjh,2020-08-26T19:41:05.910Z,"55 km SE of Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
1978-03-24T19:47:50.700Z,44.244,148.862,33,7.6,ms,,,,,us,usp0000tmy,2020-08-26T19:41:24.435Z,"134 km SE of Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
1978-06-12T08:14:26.400Z,38.19,142.028,44,7.7,ms,,,,,us,usp0000v0f,2020-08-14T04:57:20.295Z,"68 km ESE of Ishinomaki, Japan",earthquake,,,,,reviewed,us,us
1978-11-29T19:52:47.600Z,16.01,-96.591,18,7.7,ms,,,,,us,usp0000xp7,2020-07-07T23:21:02.912Z,"2 km ESE of San Agustín Loxicha, Mexico",earthquake,,,,,reviewed,us,us
1979-03-14T11:07:16.300Z,17.813,-101.276,49,7.6,ms,,,,,us,usp0000zbw,2020-07-07T23:22:40.407Z,"12 km SSE of Vallecitos de Zaragoza, Mexico",earthquake,,,,,reviewed,us,us
1979-09-12T05:17:51.400Z,-1.679,136.04,5,7.9,ms,,,,,us,usp00012wp,2020-08-26T20:35:26.946Z,"55 km S of Biak, Indonesia",earthquake,,,,,reviewed,us,us
1979-12-12T07:59:03.300Z,1.598,-79.358,24,7.7,ms,,,,,us,usp00014ey,2020-07-07T23:26:21.072Z,"57 km NW of Valdez, Ecuador",earthquake,,,,,reviewed,us,us
1980-07-08T23:19:19.800Z,-12.41,166.381,33,7.5,ms,,,,,us,usp00018r3,2020-08-26T21:07:35.058Z,"196 km SSE of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
1980-07-17T19:42:23.200Z,-12.525,165.916,33,7.9,ms,,,,,us,usp00018y0,2020-08-26T21:08:34.902Z,"199 km S of Lata, Solomon Islands",earthquake,,,,,reviewed,us,us
1981-05-25T05:25:14.460Z,-48.786,164.357,33,7.6,ms,,,,1.2,us,usp0001dv1,2020-08-26T21:34:32.556Z,"off the west coast of the South Island of New Zealand",earthquake,,,,10,reviewed,us,us
1981-09-01T09:29:31.540Z,-14.96,-173.085,25,7.7,ms,,,,1.2,us,usp0001fkx,2020-08-26T21:39:45.405Z,"133 km NE of Hihifo, Tonga",earthquake,,,,13,reviewed,us,us
1983-03-18T09:05:50.000Z,-4.883,153.581,88.8,7.6,ms,,,,1.3,us,usp0001tr1,2020-08-26T22:33:04.305Z,"157 km ESE of Kokopo, Papua New Guinea",earthquake,,3,,9,reviewed,us,us
1984-02-07T21:33:21.490Z,-10.012,160.469,18.1,7.6,mw,,,,1.4,us,usp00021u7,2020-08-26T23:14:07.986Z,"85 km SE of Honiara, Solomon Islands",earthquake,,,,,reviewed,us,hrv
1984-11-20T08:15:16.230Z,5.167,125.124,202.2,7.5,mw,,,,1.3,us,usp000297p,2020-08-26T23:48:54.861Z,"45 km SW of Sarangani, Philippines",earthquake,,2.6,,,reviewed,us,hrv
1985-03-03T22:47:07.280Z,-33.135,-71.871,33,8,mw,,,,1,us,usp0002ccz,2020-08-14T05:49:58.872Z,"25 km WSW of Valparaíso, Chile",earthquake,,,,,reviewed,us,hrv
